@relation 'runs'
@attribute 'run.id' numeric
@attribute 'task.id' numeric
@attribute 'setup.id' numeric
@attribute 'flow.id' numeric
@attribute 'flow.name' string
@attribute 'data.name' string
@attribute 'upload.time' string
@attribute 'area.under.roc.curve' numeric
@attribute 'average.cost' numeric
@attribute 'f.measure' numeric
@attribute 'kappa' numeric
@attribute 'kb.relative.information.score' numeric
@attribute 'mean.absolute.error' numeric
@attribute 'mean.prior.absolute.error' numeric
@attribute 'number.of.instances' numeric
@attribute 'precision' numeric
@attribute 'predictive.accuracy' numeric
@attribute 'prior.entropy' numeric
@attribute 'recall' numeric
@attribute 'relative.absolute.error' numeric
@attribute 'root.mean.prior.squared.error' numeric
@attribute 'root.mean.squared.error' numeric
@attribute 'root.relative.squared.error' numeric
@attribute 'total.cost' numeric
@attribute 'usercpu.time.millis' numeric
@attribute 'usercpu.time.millis.testing' numeric
@attribute 'usercpu.time.millis.training' numeric
@attribute 'array.data.area.under.roc.curve.array' string
@attribute 'array.data.f.measure.array' string
@attribute 'array.data.number.of.instances.array' string
@attribute 'array.data.precision.array' string
@attribute 'array.data.recall.array' string
@data
1847908,2,29093,5529,"mlr.classif.rpart.preproc(19)","anneal","2017-03-01 20:47:52",0.957452,0,0.904785,0.764134,639.599402,0.041265,0.134305,898,0.904386,0.907572,1.214875,0.907572,0.30725,0.258218,0.151661,0.587339,0,3.538,0.157999999999999,3.38,"0.717837,0.981359,0.95228,0,0.990624,0.979065","0,0.78022,0.941262,0,0.821918,0.909091","8,99,684,0,67,40","0,0.855422,0.933813,0,0.759494,0.945946","0,0.717172,0.94883,0,0.895522,0.875"
1847909,2,29094,5530,"mlr.classif.randomForestSRC.preproc(1)","anneal","2017-03-01 20:47:55",0.989939,0,0.908866,0.772372,556.546587,0.072546,0.134305,898,0.91561,0.919822,1.214875,0.919822,0.540156,0.258218,0.154039,0.596548,0,143.474,58.255,85.219,"0.876545,0.995727,0.98922,0,1,0.993735","0,0.688312,0.949721,0,0.901639,0.95","8,99,684,0,67,40","0,0.963636,0.909091,0,1,0.95","0,0.535354,0.994152,0,0.820896,0.95"
1847910,3,29095,5531,"mlr.classif.avNNet.preproc(1)","kr-vs-kp","2017-03-01 20:48:26",0.999346,0,0.991865,0.983697,3012.699275,0.034384,0.499014,3196,0.991865,0.991865,0.998577,0.991865,0.068904,0.499506,0.092892,0.185968,0,18.243,0.678999999999998,17.564,"0.999346,0.999346","0.992211,0.991487","1669,1527","0.992211,0.991487","0.992211,0.991487"
1847911,3,29096,5532,"mlr.classif.C50.preproc(1)","kr-vs-kp","2017-03-01 20:48:29",0.998656,0,0.994055,0.988086,3119.371918,0.014074,0.499014,3196,0.994056,0.994055,0.998577,0.994055,0.028203,0.499506,0.076381,0.152912,0,2.267,0.265999999999998,2.001,"0.998656,0.998656","0.994313,0.993773","1669,1527","0.993421,0.994751","0.995207,0.992796"
1847912,3,29097,5533,"mlr.classif.featureless.preproc(1)","kr-vs-kp","2017-03-01 20:48:44",0.499042,0,0.358305,0,0.002203,0.499013,0.499014,3196,0.272709,0.522215,0.998577,0.522215,0.999999,0.499506,0.499506,1,0,0.454,0.0119999999999996,0.442,"0.499042,0.499042","0.686125,0","1669,1527","0.522215,0","1,0"
1847913,3,29098,5534,"mlr.classif.gbm.preproc(3)","kr-vs-kp","2017-03-01 20:49:30",0.826324,0,0.358305,0,83.531692,0.489382,0.499014,3196,0.272709,0.522215,0.998577,0.522215,0.980699,0.499506,0.490206,0.981382,0,3.848,0.0659999999999998,3.782,"0.826324,0.826324","0.686125,0","1669,1527","0.522215,0","1,0"
1847914,3,29099,5535,"mlr.classif.evtree.preproc(1)","kr-vs-kp","2017-03-01 20:50:04",0.970108,0,0.94831,0.896366,2671.160767,0.091791,0.499014,3196,0.948943,0.948373,0.998577,0.948373,0.183946,0.499506,0.216369,0.433165,0,555.278,0.100999999999978,555.177,"0.970108,0.970108","0.951456,0.944871","1669,1527","0.934682,0.964529","0.968844,0.925999"
1847915,3,29100,5536,"mlr.classif.lda.preproc(1)","kr-vs-kp","2017-03-01 20:50:20",0.98541,0,0.942399,0.884532,2535.92328,0.115003,0.499014,3196,0.942536,0.942428,0.998577,0.942428,0.230461,0.499506,0.214992,0.430409,0,4.696,0.158999999999999,4.537,"0.98541,0.98541","0.945368,0.939153","1669,1527","0.937022,0.948564","0.953865,0.929928"
1847916,3,29101,5537,"mlr.classif.ksvm.preproc(2)","kr-vs-kp","2017-03-01 20:50:21",0.997453,0,0.970593,0.94108,2959.816031,0.039807,0.499014,3196,0.970625,0.970588,0.998577,0.970588,0.079772,0.499506,0.144711,0.289708,0,13.725,0.672,13.053,"0.997453,0.997453","0.971738,0.969341","1669,1527","0.975256,0.965562","0.968244,0.97315"
1847917,3,29102,5538,"mlr.classif.multinom.preproc(1)","kr-vs-kp","2017-03-01 20:50:37",0.995569,0,0.974346,0.948596,2941.107492,0.042707,0.499014,3196,0.974361,0.974343,0.998577,0.974343,0.085584,0.499506,0.15091,0.302119,0,3.622,0.150999999999999,3.471,"0.995569,0.995569","0.975375,0.97322","1669,1527","0.977724,0.970684","0.973038,0.975769"
